Код товара;Артикул;Бренд;Коллекция;Установка;Ширина;Высота;Глубина;Материал;Форма;Цвет;Миксер;Стандарт подводки;Режим струи;Диаметр лейки;Термостат;размер верхнего душа;Вес;Режим верхнего душа
220020;ROYAL PALACE SP-02;Cezares;Royal Palace;На потолок;300;56;300;Латунь;Круглая;Бронза;empty;01.фев;empty;empty;Нет;300;3;empty
220021;ROYAL PALACE SP-03;Cezares;Royal Palace;На потолок;300;56;300;Латунь;Круглая;Золото;empty;01.фев;empty;empty;Нет;300;3;empty
226087;CZR-H-SPIN-40;Cezares;Articoli Vari;На стену / на потолок;400;empty;400;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;400;3;empty
226072;CZR-C-SPIN-25;Cezares;Articoli Vari;На стену / на потолок;250;empty;250;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;250;3;empty
226084;CZR-H-SPIN-20;Cezares;Articoli Vari;На стену / на потолок;200;empty;200;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;200;0.83;empty
226085;CZR-H-SPIN-25;Cezares;Articoli Vari;На стену / на потолок;250;empty;250;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;250;3;empty
226074;CZR-H-SP20-01;Cezares;Articoli Vari;На стену / на потолок;208;empty;208;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;208;3;empty
226081;CZR-H-SPIC-25;Cezares;Articoli Vari;На стену / на потолок;250;empty;250;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;250;3;empty
226080;CZR-H-SPIC-20;Cezares;Articoli Vari;На стену / на потолок;200;empty;200;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;0.73;empty
226073;CZR-F-SP11-01;Cezares;Articoli Vari;На стену / на потолок;225;82;225;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;225;3;empty
226082;CZR-H-SPIC-30;Cezares;Articoli Vari;На стену / на потолок;300;empty;300;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;300;3;empty
226071;CZR-C-SPIC-25;Cezares;Articoli Vari;На стену / на потолок;250;empty;250;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;250;3;empty
226229;CZR-SP15-01;Cezares;Articoli Vari;На стену;200;empty;empty;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;3;empty
226079;CZR-H-SP21-03;Cezares;Articoli Vari;На стену / на потолок;290;empty;290;Нержавеющая сталь;Круглая;Золото;empty;01.фев;empty;empty;Нет;290;3;empty
226240;CZR-SP7-30-03/24;Cezares;Articoli Vari;На потолок;300;empty;empty;Нержавеющая сталь;Круглая;Золото;empty;01.фев;empty;empty;Нет;300;3;empty
